Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,16547.91406,16630.43945,16521.23438,16625.08008,16625.08008,9244361700
2023-01-02,16625.50977,16759.34375,16572.22852,16688.4707,16688.4707,12097775227
2023-01-03,16688.84766,16760.44727,16622.37109,16679.85742,16679.85742,13903079207
2023-01-04,16680.20508,16964.58594,16667.76367,16863.23828,16863.23828,18421743322
2023-01-05,16863.47266,16884.02148,16790.2832,16836.73633,16836.73633,13692758566
2023-01-06,16836.47266,16991.99414,16716.42188,16951.96875,16951.96875,14413662913
2023-01-07,16952.11719,16975.01758,16914.19141,16955.07813,16955.07813,7714767174
2023-01-08,16954.14648,17091.14453,16924.05078,17091.14453,17091.14453,9768827914
2023-01-09,17093.99219,17389.95703,17093.99219,17196.55469,17196.55469,18624736866
2023-01-10,17192.94922,17484.7207,17162.99023,17446.29297,17446.29297,15808338949
2023-01-11,17446.35938,17934.89648,17337.99414,17934.89648,17934.89648,18372283782
2023-01-12,18117.59375,19030.08789,17995.20313,18869.58789,18869.58789,34971338710
2023-01-13,18868.90625,19964.32227,18753.16406,19909.57422,19909.57422,29225029694
2023-01-14,19910.53711,21075.14258,19907.82813,20976.29883,20976.29883,38967784639
2023-01-15,20977.48438,20993.74805,20606.98633,20880.79883,20880.79883,19298407543
2023-01-16,20882.22461,21360.875,20715.74609,21169.63281,21169.63281,26792494050
2023-01-17,21175.83398,21438.66016,20978.5332,21161.51953,21161.51953,24999983362
2023-01-18,21161.05078,21564.50195,20541.54492,20688.78125,20688.78125,30005625418
2023-01-19,20686.74609,21163.01172,20685.38086,21086.79297,21086.79297,21152848261
2023-01-20,21085.37305,22692.35742,20919.12695,22676.55273,22676.55273,28799154319
2023-01-21,22677.42773,23282.34766,22511.83398,22777.625,22777.625,32442278429
2023-01-22,22777.98633,23056.73047,22387.90039,22720.41602,22720.41602,24746386230
2023-01-23,22721.08789,23126.48633,22654.30469,22934.43164,22934.43164,26518700512
2023-01-24,22929.62695,23134.01172,22549.74414,22636.46875,22636.46875,26405069715
2023-01-25,22639.26758,23722.09961,22406.07617,23117.85938,23117.85938,30685366709
2023-01-26,23108.95508,23237.07813,22911.37305,23032.77734,23032.77734,26357839322
2023-01-27,23030.7168,23417.7207,22654.59375,23078.72852,23078.72852,25383335641
2023-01-28,23079.96484,23165.89648,22908.8457,23031.08984,23031.08984,14712928379
2023-01-29,23031.44922,23919.89063,22985.07031,23774.56641,23774.56641,27423687259
2023-01-30,23774.64844,23789.34766,22657.58203,22840.13867,22840.13867,27205595568
2023-01-31,22840.79688,23225.02148,22765.56836,23139.2832,23139.2832,22837828665
2023-02-01,23137.83594,23764.53906,22877.75,23723.76953,23723.76953,26683255504
2023-02-02,23720.82422,24167.21094,23468.5957,23471.87109,23471.87109,32066936882
2023-02-03,23469.41211,23678.10352,23279.95508,23449.32227,23449.32227,27083066007
2023-02-04,23446.32031,23556.94922,23291.79492,23331.84766,23331.84766,15639298538
2023-02-05,23332.24805,23423.43555,22841.75977,22955.66602,22955.66602,19564262605
2023-02-06,22954.02148,23119.2793,22692.02539,22760.10938,22760.10938,23825006542
2023-02-07,22757.26758,23310.97461,22756.25781,23264.29102,23264.29102,27187964471
2023-02-08,23263.41602,23367.95898,22731.09766,22939.39844,22939.39844,25371367758
2023-02-09,22946.56641,22996.4375,21773.97461,21819.03906,21819.03906,32572572185
2023-02-10,21819.00586,21941.18555,21539.39258,21651.18359,21651.18359,27078406594
2023-02-11,21651.8418,21891.41016,21618.44922,21870.875,21870.875,16356226232
2023-02-12,21870.90234,22060.99414,21682.82813,21788.20313,21788.20313,17821046406
2023-02-13,21787,21898.41406,21460.08789,21808.10156,21808.10156,23918742607
2023-02-14,21801.82227,22293.14063,21632.39453,22220.80469,22220.80469,26792596581
2023-02-15,22220.58594,24307.8418,22082.76953,24307.8418,24307.8418,32483312909
2023-02-16,24307.34961,25134.11719,23602.52344,23623.47461,23623.47461,39316664596
2023-02-17,23621.2832,24924.04102,23460.75586,24565.60156,24565.60156,41358451255
2023-02-18,24565.29688,24798.83594,24468.37305,24641.27734,24641.27734,19625427158
2023-02-19,24640.02734,25093.05469,24327.64258,24327.64258,24327.64258,25555105670
2023-02-20,24336.62305,25020.45898,23927.91016,24829.14844,24829.14844,28987376573
2023-02-21,24833.04883,25126.85156,24200.36328,24436.35352,24436.35352,31252098714
2023-02-22,24437.41797,24472.33984,23644.31836,24188.84375,24188.84375,30199996781
2023-02-23,24190.71875,24572.08984,23693.91992,23947.49219,23947.49219,30476264066
2023-02-24,23946.00781,24103.70508,23007.07227,23198.12695,23198.12695,26811744928
2023-02-25,23200.125,23210.21094,22861.55859,23175.375,23175.375,16100721565
2023-02-26,23174.15039,23654.36719,23084.2207,23561.21289,23561.21289,16644534842
2023-02-27,23561.45117,23857.89063,23205.87891,23522.87109,23522.87109,22660763494
2023-02-28,23521.83789,23585.38477,23077.65039,23147.35352,23147.35352,20535363434
2023-03-01,23150.92969,23880.63281,23088.62695,23646.55078,23646.55078,24662841200
2023-03-02,23647.01953,23739.13867,23245.02148,23475.4668,23475.4668,20386398516
2023-03-03,23476.63281,23479.34766,22213.23828,22362.67969,22362.67969,26062404610
2023-03-04,22362.92383,22405.17773,22198.98047,22353.34961,22353.34961,11166012913
2023-03-05,22354.14453,22613.68555,22307.14258,22435.51367,22435.51367,13317001733
2023-03-06,22436.81641,22584.29297,22331.31445,22429.75781,22429.75781,17353192895
2023-03-07,22428.32227,22527.41797,22011.26172,22219.76953,22219.76953,22765452204
2023-03-08,22216.44141,22268.89648,21708.05078,21718.08008,21718.08008,22536575684
2023-03-09,21720.08008,21802.7168,20210.30664,20363.02148,20363.02148,30364664171
2023-03-10,20367.00195,20370.5957,19628.25391,20187.24414,20187.24414,39578257695
2023-03-11,20187.87695,20792.52539,20068.66016,20632.41016,20632.41016,30180288176
2023-03-12,20628.0293,22185.03125,20448.80664,22163.94922,22163.94922,29279035521
2023-03-13,22156.40625,24550.83789,21918.19922,24197.5332,24197.5332,49466362688
2023-03-14,24201.76563,26514.7168,24081.18359,24746.07422,24746.07422,54622230164
2023-03-15,24770.92578,25240.61523,23964.91016,24375.96094,24375.96094,43655701450
