,CreditScore,Location,Male,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,585.0,1.0,?,53.0,2.0,0.0,2.0,1.0,1.0,91830.75,0
1,606.0,1.0,1.0,24.0,2.0,0.0,1.0,0.0,1.0,,0
2,633.0,0.0,1.0,44.0,1.0,118907.6,1.0,1.0,0.0,47777.15,0
3,602.0,0.0,1.0,40.0,2.0,149961.99,2.0,,1.0,82696.84,0
4,645.0,1.0,1.0,31.0,4.0,132351.29,1.0,1.0,0.0,151887.16,0
5,558.0,0.0,0.0,37.0,2.0,123845.36,1.0,1.0,0.0,173498.45,1
6,529.0,1.0,1.0,33.0,8.0,137824.38,1.0,1.0,1.0,74415.84,0
7,527.0,0.0,1.0,57.0,6.0,?,1.0,0.0,0.0,27375.94,1
8,592.0,0.0,1.0,25.0,7.0,174446.01,1.0,0.0,0.0,137959.35,0
9,614.0,1.0,1.0,44.0,3.0,0.0,1.0,1.0,0.0,118862.98,1
10,763.0,2.0,1.0,27.0,8.0,133800.98,1.0,0.0,1.0,85901.09,0
11,706.0,0.0,0.0,62.0,8.0,118336.95,1.0,1.0,0.0,26342.33,1
12,517.0,1.0,0.0,41.0,7.0,0.0,2.0,1.0,0.0,92621.9,0
13,705.0,0.0,0.0,50.0,7.0,102088.68,3.0,1.0,0.0,166799.93,1
14,,1.0,0.0,29.0,5.0,0.0,1.0,1.0,1.0,944.41,0
15,726.0,0.0,0.0,,1.0,106344.82,2.0,,1.0,127543.81,0
16,486.0,0.0,?,40.0,10.0,122453.97,4.0,1.0,0.0,119817.19,1
17,710.0,0.0,1.0,42.0,1.0,129728.6,2.0,1.0,0.0,143954.99,0
18,599.0,0.0,0.0,43.0,8.0,118079.33,1.0,1.0,1.0,178667.77,0
19,660.0,0.0,1.0,39.0,10.0,104784.16,1.0,1.0,0.0,187985.85,1
20,554.0,1.0,1.0,21.0,9.0,0.0,2.0,1.0,1.0,172363.52,0
21,712.0,1.0,0.0,29.0,4.0,0.0,2.0,1.0,1.0,82970.97,0
22,578.0,0.0,1.0,42.0,3.0,115924.89,1.0,1.0,0.0,85424.34,1
23,701.0,1.0,0.0,32.0,5.0,105588.66,2.0,0.0,1.0,74694.41,0
24,669.0,1.0,1.0,42.0,1.0,0.0,2.0,1.0,1.0,60920.03,0
25,745.0,2.0,0.0,48.0,6.0,0.0,1.0,1.0,1.0,161848.03,0
26,640.0,1.0,1.0,28.0,7.0,86006.3,1.0,1.0,0.0,131097.9,0
27,751.0,1.0,1.0,33.0,2.0,154962.93,1.0,1.0,0.0,95562.96,0
28,850.0,1.0,0.0,29.0,10.0,0.0,2.0,1.0,0.0,126192.54,0
29,597.0,2.0,1.0,35.0,3.0,122486.47,,1.0,1.0,59748.19,0
30,636.0,?,1.0,38.0,9.0,0.0,2.0,0.0,0.0,94710.9,0
31,678.0,1.0,1.0,42.0,7.0,104763.23,1.0,0.0,1.0,125646.9,0
32,634.0,0.0,1.0,45.0,9.0,127480.97,1.0,1.0,0.0,54495.03,1
33,703.0,0.0,1.0,33.0,4.0,89750.61,2.0,1.0,0.0,136301.1,0
34,749.0,1.0,1.0,45.0,1.0,0.0,1.0,1.0,0.0,131312.89,0
35,682.0,2.0,0.0,39.0,6.0,0.0,2.0,1.0,0.0,85985.38,0
36,?,0.0,1.0,37.0,1.0,152347.01,2.0,?,0.0,172576.56,0
37,?,1.0,1.0,32.0,7.0,0.0,2.0,0.0,1.0,132498.39,0
38,705.0,1.0,0.0,51.0,3.0,0.0,1.0,1.0,1.0,103604.11,1
39,548.0,,1.0,32.0,8.0,98986.28,1.0,0.0,1.0,55867.38,0
40,687.0,1.0,1.0,35.0,6.0,0.0,2.0,1.0,1.0,148887.69,0
41,732.0,1.0,1.0,36.0,6.0,0.0,2.0,1.0,0.0,176809.87,0
42,699.0,1.0,1.0,38.0,1.0,105229.36,1.0,0.0,1.0,51380.9,0
43,644.0,1.0,0.0,21.0,2.0,0.0,2.0,?,1.0,155782.89,0
44,762.0,0.0,1.0,,8.0,106901.42,1.0,1.0,0.0,84421.34,0
45,590.0,0.0,1.0,34.0,2.0,144575.14,1.0,1.0,0.0,147055.79,0
46,569.0,0.0,0.0,26.0,5.0,95947.76,2.0,1.0,0.0,172501.38,0
47,721.0,?,1.0,43.0,1.0,?,1.0,1.0,0.0,75848.22,0
48,709.0,1.0,0.0,37.0,8.0,0.0,3.0,1.0,1.0,166516.84,1
49,538.0,0.0,0.0,54.0,2.0,123324.35,1.0,0.0,0.0,183617.87,1
