date,incidents
01-01-11,185
01-01-12,176
01-01-13,157
01-01-14,139
01-01-15,157
01-01-16,148
01-02-11,102
01-02-12,105
01-02-13,107
01-02-14,115
01-02-15,109
01-02-16,109
01-03-11,106
01-03-12,99
01-03-13,112
01-03-14,71
01-03-15,77
01-03-16,109
01-04-11,113
01-04-12,121
01-04-13,152
01-04-14,120
01-04-15,97
01-04-16,109
01-05-11,131
01-05-12,131
01-05-13,121
01-05-14,103
01-05-15,119
01-05-16,125
01-06-11,107
01-06-12,126
01-06-13,113
01-06-14,118
01-06-15,91
01-06-16,119
01-07-11,150
01-07-12,122
01-07-13,124
01-07-14,84
01-07-15,108
01-07-16,139
01-08-11,106
01-08-12,109
01-08-13,121
01-08-14,122
01-08-15,86
01-08-16,161
01-09-11,98
01-09-12,107
01-09-13,123
01-09-14,134
01-09-15,102
01-09-16,132
01-10-11,115
01-10-12,132
01-10-13,138
01-10-14,143
01-10-15,86
01-10-16,113
01-11-11,120
01-11-12,113
01-11-13,150
01-11-14,110
01-11-15,91
01-11-16,117
01-12-11,76
01-12-12,112
01-12-13,118
01-12-14,104
01-12-15,128
01-12-16,144
01/13/2011,114
01/13/2012,124
01/13/2013,133
01/13/2014,129
01/13/2015,135
01/13/2016,110
01/14/2011,115
01/14/2012,119
01/14/2013,129
01/14/2014,140
01/14/2015,127
01/14/2016,135
01/15/2011,121
01/15/2012,99
01/15/2013,143
01/15/2014,
01/15/2015,
01/15/2016,
01/16/2011,
01/16/2012,
01/16/2013,
01/16/2014,
01/16/2015,
01/16/2016,120
01/17/2011,110
01/17/2012,137
01/17/2013,123
01/17/2014,138
01/17/2015,127
01/17/2016,131
01/18/2011,108
01/18/2012,146
01/18/2013,131
01/18/2014,103
01/18/2015,118
01/18/2016,103
01/19/2011,113
01/19/2012,128
01/19/2013,105
01/19/2014,107
01/19/2015,140
01/19/2016,130
01/20/2011,138
01/20/2012,134
01/20/2013,129
01/20/2014,134
01/20/2015,124
01/20/2016,97
01/21/2011,118
01/21/2012,104
01/21/2013,114
01/21/2014,81
01/21/2015,129
01/21/2016,103
01/22/2011,122
