Year,Coal,NaturalGas,Petroleum,ConvHydro,PSHydro,Nuclear,NetImports,Other,Waste,LFG,Wood,Wind,Solar,Total
2015,2046,56923,1892,25879,825,44620,22273,3028,1862,745,422,3984,101,161572
2014,4325,54380,2136,25974,849,43041,22103,3194,1866,789,539,3986,71,160059
2013,4697,54354,1007,25631,766,44756,25694,3003,1799,828,377,3539,67,163514
2012,4551,59462,580,24572,731,40775,26180,2945,1897,736,311,2992,53,162840
2011,9426,50805,1189,27634,721,42695,25201,2823,1878,735,210,2828,7,163329
2010,13583,48916,2005,24214,889,41870,26517,2916,1893,708,315,2596,,163505
2009,12759,41780,2648,26420,1525,43485,25009,2888,1900,648,340,2266,,158780
2008,19154,43856,3745,25711,1790,43209,23899,2996,1903,533,560,1251,,165612
2007,21406,45634,8195,24184,1373,42453,20708,2555,1902,397,256,833,,167341
2006,20968,42134,6778,27110,1312,42224,18569,2488,1902,326,260,655,,162238
2005,20598,31873,24013,26204,1379,42443,18115,2481,1899,329,253,103,,167208
2004,22853,27294,21205,26745,1408,40640,17646,2303,1883,209,211,116,,160211
2003,23581,28156,19292,24207,1591,40679,18163,2302,1905,205,192,41,,158012
2002,23239,38451,11534,24612,1601,39617,17088,2282,1878,198,206,82,,158507
2001,23432,38697,16512,21486,1666,40395,10628,2404,1837,284,283,21,,155241
2000,25010,39729,14945,24910,1843,31508,15723,2958,,,,10,,156636
1999,23366,45999,13304,24752,2058,37019,6904,2950,,,,0,,156352
1998,25265,42472,14901,29316,2211,31314,3145,2754,,,,0,,151377
1997,24059,46281,8588,30618,2058,29570,4913,2809,,,,0,,148896
1996,22672,37449,9717,28951,2177,35226,9472,2863,,,,0,,148527
1995,22289,49057,8268,25993,2077,26336,11777,2632,,,,0,,148429
1994,23291,32230,12030,27791,2149,29231,18453,2602,,,,0,,147777
1993,24502,27075,15073,29443,2043,26889,19509,2374,,,,0,,146909
1992,27280,26850,18319,28057,,24155,16450,2320,,,,0,,143431
1991,26660,23074,28221,27172,,28448,9411,2033,,,,0,,145019
1990,25913,22724,33885,28188,,23623,4519,2066,,,,0,,140919
1989,31228,17141,40963,24697,,22847,5539,,,,,0,,142415
1988,28698,13936,39931,23901,,24175,9994,,,,,0,,140635
1987,25304,16385,31389,27546,,22926,11373,,,,,0,,134923
1986,20815,12471,31911,29480,,22084,13204,,,,,0,,129965
1985,24255,15995,25927,26956,,24092,10155,,,,,0,,127380
1984,21902,15395,28891,26586,,21187,10812,,,,,0,,124773
1983,20753,12428,34380,26162,,16376,11888,,,,,0,,121987
1982,20807,13974,32932,25329,,14438,10196,,,,,0,,117676
1981,19632,11566,36760,25658,,17444,7137,,,,,0,,118197
1980,19643,10766,37834,26241,,19276,5575,,,,,0,,119335
1979,,,,26240,,18507,,,,,,,,
1978,,,,25832,,21701,,,,,,,,
1977,,,,25441,,20590,,,,,,,,
1976,,,,28603,,15659,,,,,,,,
1975,,,,28135,,13111,,,,,,,,
1974,,,,28639,,9272,,,,,,,,
1973,,,,29156,,7227,,,,,,,,
1972,,,,27542,,6465,,,,,,,,
1971,,,,25177,,6521,,,,,,,,
1970,,,,24781,,4273,,,,,,,,
1969,,,,26347,,1272,,,,,,,,
1968,,,,24730,,1074,,,,,,,,
1967,,,,23116,,1153,,,,,,,,
1966,,,,21749,,798,,,,,,,,
1965,,,,19301,,727,,,,,,,,
1964,,,,17943,,382,,,,,,,,
1963,,,,19071,,591,,,,,,,,
1962,,,,20598,,61,,,,,,,,
1961,,,,17869,,0,,,,,,,,
1960,,,,11746,,0,,,,,,,,
