TIME,European Union - 27 countries (from 2020),Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,United Kingdom
2008-01-01,2012060,70311,18585,47394,24218,404572,3539,20473,16246,159409,247996,11085,400889,0,8997,15517,5900,71744,0,229443,41460,67054,18859,66938,4543,32800,19192,4896,0,29053,454430
2008-02-01,1754306,60862,15746,40149,20636,337862,3526,19761,15292,154971,223965,11600,374828,0,7407,13731,5450,59505,0,172730,36360,60202,16135,51604,4127,26358,17197,4302,0,-1403,421590
2008-03-01,1736092,59073,13978,40354,21495,388146,4508,20354,15040,141101,226395,11630,321945,0,7162,13880,5649,54933,0,171398,34316,61397,16353,54080,4089,26540,17875,4401,0,27074,426802
2008-04-01,1372621,51686,10329,27020,16334,315796,3670,17979,11418,127766,156726,9225,254812,0,4567,10084,4355,40081,0,135279,27458,50039,14654,47718,3332,15313,14085,2895,0,23597,355178
2008-05-01,1041214,33627,10702,16660,11295,234408,2748,17979,12974,127714,82341,7246,197740,0,3113,8000,2390,27045,0,93596,18052,40185,17060,47867,2915,10987,12648,1922,0,53769,297683
2008-06-01,967959,34456,9393,12320,7261,211481,1873,14532,14420,125193,76007,7317,195719,0,2723,6363,2131,24690,0,85865,17364,33339,16348,42110,2688,10850,11531,1985,0,20843,257696
2008-07-01,979177,31833,8952,12156,9625,197662,1583,14532,16170,134021,74869,7683,209817,0,2811,6996,2439,24622,0,86332,17212,32909,17765,45567,2082,7109,12774,1656,0,22207,249827
2008-08-01,892583,29829,8440,11648,10692,194556,935,14890,13897,118843,58067,7587,163982,0,2608,8223,3516,22404,0,87165,16502,32566,15306,45385,1969,8224,13292,2057,0,38086,228892
2008-09-01,1100342,38841,8454,19144,11070,254304,956,14295,13718,123964,80763,8128,216484,0,3794,8261,4150,29798,0,106258,23479,41423,16460,43957,3029,11339,16000,2273,0,7360,235299
2008-10-01,1338112,45897,8090,27484,14758,302844,3526,1544,11389,130355,151844,9607,239839,0,5056,9898,4729,38914,0,159103,31493,49003,14512,37598,3483,16851,17197,3098,0,16463,316027
2008-11-01,1548783,53963,9868,34886,18477,353101,1812,2257,10635,139768,207325,11789,290856,0,6509,10307,4903,48649,0,156505,33509,52938,14845,38065,3218,23224,17277,4097,0,29709,364244
2008-12-01,1810462,66385,13136,41807,21513,385763,5203,20591,11959,135108,258163,12955,362597,0,7269,9414,3516,60502,0,191056,38692,60719,13906,39014,3370,27239,15763,4822,0,11787,422146
2009-01-01,1990572,75284,9490,52397,23377,425855,3099,20394,11804,142235,283874,11354,396964,0,7965,10754,6329,66265,0,211148,45452,68331,15992,46611,3938,27598,17920,6142,0,11863,443824
2009-02-01,1710927,72098,11252,42073,21405,373517,2948,18453,9844,117869,237859,10805,336689,0,7737,11238,5113,54889,0,174264,39028,58854,11272,42587,3521,25513,16504,5595,0,15466,377682
2009-03-01,1539568,64275,10806,36976,18003,335633,3537,17820,8735,116755,205977,9891,286055,0,6643,10828,4938,48219,0,156237,34793,58764,16664,41169,3143,22556,15936,5215,0,7330,352455
2009-04-01,1041608,42792,7044,15842,12905,238776,2562,17028,8211,112160,117357,7481,182955,0,3231,7926,3826,23599,0,101959,19068,41384,14835,31461,2007,11161,13055,2983,0,14757,267963
2009-05-01,905108,32216,5503,13190,11593,208220,1613,16553,10835,107970,82566,6466,162916,0,2315,6251,3607,19610,0,90997,16362,39415,17434,26172,2234,9206,9179,2685,0,12105,242641
2009-06-01,888379,33453,4820,12512,10816,214646,957,14692,10656,117953,68631,4865,160478,0,2668,5545,2866,16816,0,90297,15533,36669,13145,24878,2310,11378,9277,2518,0,26667,180022
2009-07-01,957909,41202,5776,11046,8665,228795,805,13900,12600,126019,65220,6773,185814,0,2155,5023,3476,16517,0,91398,15447,33020,17785,37374,2461,15134,8970,2534,0,17383,199007
2009-08-01,909560,45729,5273,10735,9312,219981,1406,13227,11092,109596,60029,7375,156439,0,2224,5321,3134,16196,0,92063,14047,31813,19556,44703,2499,15890,9555,2365,0,2710,201552
2009-09-01,1006680,47087,6684,12775,9355,229444,811,14732,11974,120955,69344,7146,196140,0,2387,5507,3788,18611,0,104458,18084,32385,19067,41698,2802,16829,11416,3201,0,15085,228032
2009-10-01,1337033,56082,7551,27600,16037,310707,817,16315,13751,116517,131784,9566,242583,0,5067,9303,4691,36029,0,142143,32657,49718,17265,39459,3635,26490,16227,5039,0,12169,283468
2009-11-01,1535445,65202,10253,33838,16801,333824,817,17860,14115,122680,188340,10821,298056,0,6000,10605,4737,46022,0,148641,35231,53471,15725,46646,4089,31494,14825,5352,0,15021,346171
2009-12-01,1984414,85434,12561,43221,23304,435796,2111,21463,14523,142466,264160,12911,371513,0,8640,13173,5247,60031,0,211617,43931,66126,17189,62239,4695,34779,19215,8069,0,15695,449854
2010-01-01,2217102,87443,14392,53854,27979,490862,3001,22453,14288,143300,307937,12498,411023,0,11951,18493,6407,69898,0,243290,49890,78210,15907,57308,4922,40617,22061,9118,0,16821,461737
2010-02-01,1888249,74479,11644,44490,24549,417185,4070,20037,12758,132525,244358,12005,358635,0,8901,15182,5587,58638,0,204918,42006,63131,15943,52451,4316,32941,19550,7950,0,30616,407552
2010-03-01,1695893,72147,12088,38400,22482,385814,3343,21107,12294,128650,228311,11222,330099,0,7919,12466,5450,50185,0,130578,36360,60326,16425,53994,4165,26710,18042,7316,0,17461,402930
2010-04-01,1234200,40573,8930,31611,16132,294184,2819,16949,10469,109262,130988,8042,221742,0,3834,7293,4455,31155,0,129779,27351,44485,14931,41731,2953,14146,14825,5561,0,25162,304653
2010-05-01,1126511,43590,5433,18951,14011,281813,1653,17029,11460,106330,135187,6982,186042,0,2465,5693,3772,22210,0,123371,21143,36832,17827,36189,2650,10903,11081,3894,0,12111,295963
2010-06-01,882410,29221,5418,14776,10110,186698,1016,16474,10243,106817,77463,5909,173127,0,2331,3126,3566,18503,0,92563,17399,32325,17375,33636,2423,9270,9140,3481,0,18405,246215
