Customer ID,Age,Gender,Location,Product Category,Purchase Frequency,Average Spend,Preferred Shopping Channel,Engagement Score,Loyalty Program Member
C0001,32,Male,Rural,Health & Beauty,Monthly,367.34,Mobile App,3,Yes
C0002,24,Female,Rural,Home & Kitchen,Monthly,477.18,Mobile App,6,No
C0003,61,Other,Suburban,Electronics,Weekly,311.32,In-Store,6,Yes
C0004,53,Female,Urban,Clothing,Monthly,255.28,Online,7,Yes
C0005,56,Male,Urban,Sports & Outdoors,Yearly,235.55,Mobile App,9,Yes
C0006,54,Female,Suburban,Sports & Outdoors,Yearly,139.63,Online,4,Yes
C0007,62,Female,Urban,Health & Beauty,Daily,371.81,Mobile App,9,No
C0008,54,Other,Urban,Sports & Outdoors,Monthly,23.25,In-Store,4,Yes
C0009,69,Female,Urban,Home & Kitchen,Weekly,320.77,Mobile App,6,Yes
C0010,55,Male,Urban,Electronics,Daily,486.25,Mobile App,2,Yes
C0011,37,Female,Rural,Electronics,Yearly,490.3,In-Store,10,Yes
C0012,66,Male,Urban,Electronics,Monthly,430.5,Online,5,No
C0013,37,Other,Rural,Sports & Outdoors,Yearly,146.79,In-Store,2,No
C0014,42,Female,Urban,Health & Beauty,Monthly,330.87,In-Store,1,Yes
C0015,62,Male,Suburban,Home & Kitchen,Yearly,237.8,Online,4,Yes
C0016,70,Other,Urban,Clothing,Yearly,168.53,Online,1,No
C0017,32,Other,Urban,Sports & Outdoors,Weekly,448.37,Mobile App,9,No
C0018,27,Male,Suburban,Health & Beauty,Monthly,153.26,In-Store,10,Yes
C0019,59,Male,Urban,Sports & Outdoors,Daily,114.29,In-Store,9,No
C0020,70,Male,Urban,Sports & Outdoors,Monthly,42.69,Mobile App,2,Yes
C0021,42,Male,Rural,Home & Kitchen,Weekly,153.07,Mobile App,3,Yes
C0022,58,Male,Rural,Home & Kitchen,Daily,476.14,Mobile App,6,No
C0023,50,Other,Suburban,Sports & Outdoors,Daily,108.84,Mobile App,5,No
C0024,30,Female,Suburban,Clothing,Yearly,180.68,In-Store,7,No
C0025,48,Male,Suburban,Health & Beauty,Weekly,101.32,In-Store,3,Yes
C0026,53,Male,Rural,Health & Beauty,Daily,354.9,Mobile App,1,No
C0027,63,Male,Rural,Health & Beauty,Monthly,189.52,Online,7,No
C0028,34,Female,Urban,Health & Beauty,Yearly,357.6,Online,10,No
C0029,18,Male,Suburban,Clothing,Monthly,434.62,Mobile App,8,No
C0030,62,Other,Suburban,Sports & Outdoors,Yearly,197.45,Online,4,No
C0031,35,Male,Suburban,Sports & Outdoors,Weekly,164.82,Mobile App,2,Yes
C0032,35,Female,Rural,Home & Kitchen,Weekly,353.62,Online,10,No
C0033,43,Male,Suburban,Health & Beauty,Weekly,303.32,In-Store,5,Yes
C0034,25,Female,Suburban,Health & Beauty,Weekly,389.13,Online,9,Yes
C0035,70,Male,Rural,Home & Kitchen,Daily,82.89,In-Store,1,No
