Date,Open,High,Low,Close,Adj Close,Volume
2023-01-17,11070,11145.44043,11024.71973,11095.11035,11095.11035,5138410000
2023-01-18,11170.9502,11223.41016,10952.04981,10957.00977,10957.00977,5288630000
2023-01-19,10890.40039,10932.51953,10804.57031,10852.26953,10852.26953,4660800000
2023-01-20,10924.66016,11143.16992,10885.65039,11140.42969,11140.42969,5980110000
2023-01-23,11171.94043,11405.5,11144.03027,11364.41016,11364.41016,5997810000
2023-01-24,11302.92969,11378.15039,11282.65039,11334.26953,11334.26953,5670860000
2023-01-25,11146.53027,11334.21973,11069.17969,11313.36035,11313.36035,5485570000
2023-01-26,11458.40039,11516.04981,11341.19043,11512.41016,11512.41016,5732890000
2023-01-27,11470.46973,11691.88965,11470.26953,11621.70996,11621.70996,6243800000
2023-01-30,11512.33984,11553.30957,11388.54004,11393.80957,11393.80957,5122320000
2023-01-31,11398.58008,11586.00977,11398.37012,11584.54981,11584.54981,5695150000
2023-02-01,11573.13965,11904.01953,11500.33008,11816.32031,11816.32031,6336040000
2023-02-02,12065.15039,12269.54981,12024.13965,12200.82031,12200.82031,7038210000
2023-02-03,11946.86035,12231.30957,11946.86035,12006.9502,12006.9502,5954490000
2023-02-06,11904.41016,11973.41016,11843.49023,11887.4502,11887.4502,5538350000
2023-02-07,11891.25,12150.21973,11836.78027,12113.79004,12113.79004,5720240000
2023-02-08,12069.12012,12096.38965,11890.08984,11910.51953,11910.51953,5052870000
2023-02-09,12069.09961,12070.95996,11745.11035,11789.58008,11789.58008,5536290000
2023-02-10,11714.59961,11775.79981,11630.54004,11718.12012,11718.12012,4885030000
2023-02-13,11759.08984,11910.91992,11719.73047,11891.79004,11891.79004,4752880000
2023-02-14,11808.2002,11999.84961,11760.55957,11960.15039,11960.15039,5032430000
2023-02-15,11905.12012,12071.29004,11876.82031,12070.58984,12070.58984,5056640000
2023-02-16,11896.30957,12040.33984,11853.36035,11855.83008,11855.83008,5159410000
2023-02-17,11777.5,11803.21973,11673.20996,11787.26953,11787.26953,4925230000
2023-02-21,11640.37012,11684.13965,11491.17969,11492.29981,11492.29981,5002540000
2023-02-22,11517.2002,11582.51953,11445.16992,11507.07031,11507.07031,4671270000
2023-02-23,11636.92969,11638.98047,11432.58008,11590.40039,11590.40039,4714580000
2023-02-24,11404.17969,11434.36035,11334.46973,11394.94043,11394.94043,4432650000
2023-02-27,11517.19043,11565.23047,11444.59961,11466.98047,11466.98047,4494000000
2023-02-28,11451.04981,11548.23047,11435.38965,11455.54004,11455.54004,5340950000
2023-03-01,11447.58008,11479,11349.87012,11379.48047,11379.48047,4927530000
