"VALNSAWD: VALUE NON-SEASONALLY ADJUSTED - Average Weekly Retail Sales Detailed Level in £thousands, Great Britain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells in this table are empty because data was not collected for these variables at these time points.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Retails Sales Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Weeks,Time Period,All Retailing including automotive fuel - All Retailing,All Retailing including automotive fuel - Large Businesses,All Retailing including automotive fuel - Small Businesses,All Retailing excluding automotive fuel - All Retailing,All Retailing excluding automotive fuel - Large Businesses,All Retailing excluding automotive fuel - Small Businesses,Predominantly Food Stores Total - All Businesses,Predominantly Food Stores Total - Large Businesses,Predominantly Food Stores Total - Small Businesses,Non-Specialised Food Stores - All Businesses,Non-Specialised Food Stores - Large Businesses,Non-Specialised Food Stores - Small Businesses,Specialist Food Stores,"Alcoholic and Other beverages, and Tobacco",Predominantly Non-food Stores Total - All Businesses,Predominantly Non-food Stores Total - Large Businesses,Predominantly Non-food Stores Total - Small Businesses,Non-Specialised Predominantly Non-food Stores - All Businesses,Non-Specialised Predominantly Non-food Stores - Large Businesses,Non-Specialised Predominantly Non-food Stores - Small Businesses,"Textiles, Clothing, Footwear & Leather - All Businesses","Textiles, Clothing, Footwear & Leather - Large Businesses","Textiles, Clothing, Footwear & Leather - Small Businesses",Retail Sale of Textiles,Retail Sale of Clothing - All Businesses,Retail Sale of Clothing - Large Businesses,Retail Sale of Clothing - Small Businesses,Footwear & Leather Goods,Household Goods Stores - All Businesses,Household Goods Stores - Large Businesses,Household Goods Stores - Small Businesses,"Furniture, Lighting, etc. NES",Electrical Household Appliances,"Hardware, Paint and Glass",Audio and video and music,Other Non-food Stores - All Businesses,Other Non-food Stores - Large Businesses,Other Non-food Stores - Small Businesses,"Other Retail Sale in Specialised Stores - Pharmaceutical, Medical, Cosmetic and Toilet Goods","Other Retail Sale in Specialised Stores - Books, Newspapers and Periodicals",Other Retail Sale in Specialised Stores - Floor Coverings,Other Retail Sale in Specialised Stores - Computers and Telecommunications,Other Retail Sale in Specialised Stores - Specialised Stores NEC,Non-store Retailing - All Retailing,Non-store Retailing - Large Businesses,Non-store Retailing - Small Businesses,Non-store Retailing - Mail Order Houses,Non-store Retailing - Non-store excluding Mail Order,Automotive fuel
5,1986JAN,,,,"1,883,158","1,081,359","801,797","747,434","493,599","253,835","528,289","447,205","81,084","152,125","67,020","974,635","505,150","469,484","163,708","139,700","24,008","267,774","163,991","103,783","11,750","211,825","138,124","73,701","44,199","261,454","116,155","145,298","109,325","78,122","54,441","19,565","281,699","85,304","196,395","26,732","44,911","32,007","47,062","130,987","161,089","82,610","78,478","112,772","48,317",
4,1986FEB,,,,"1,819,795","1,039,049","780,747","773,160","509,055","264,107","546,046","461,241","84,807","156,646","70,468","898,116","457,136","440,979","152,657","128,001","24,655","223,837","140,729","83,108","10,206","179,837","121,036","58,802","33,794","246,502","105,738","140,764","100,309","70,660","57,787","17,746","275,121","82,669","192,452","27,707","46,653","29,144","46,934","124,683","148,519","72,858","75,661","99,656","48,863",
5,1986MAR,,,,"1,912,580","1,103,559","809,024","797,102","528,500","268,605","565,501","478,944","86,559","157,972","73,629","962,839","500,634","462,206","169,439","143,479","25,961","251,438","160,452","90,986","9,969","198,024","136,686","61,338","43,445","249,614","109,168","140,446","98,453","70,117","63,174","17,870","292,348","87,535","204,813","28,378","48,385","28,247","48,961","138,377","152,638","74,425","78,213","103,094","49,544",
4,1986APR,,,,"1,974,415","1,133,434","840,983","809,331","535,821","273,511","572,657","485,314","87,343","162,496","74,178","1,005,872","520,557","485,315","170,540","144,661","25,879","275,975","172,415","103,560","10,755","214,486","145,107","69,379","50,734","260,086","114,300","145,786","104,300","71,099","66,784","17,903","299,271","89,181","210,090","28,579","47,051","30,257","49,129","144,255","159,213","77,056","82,157","107,461","51,752",
4,1986MAY,,,,"1,948,918","1,117,892","831,025","800,195","526,688","273,506","564,320","476,027","88,291","159,559","76,316","993,983","517,275","476,709","170,173","143,710","26,463","274,980","173,003","101,977","10,521","212,172","144,681","67,491","52,287","251,175","113,681","137,494","101,310","65,064","68,047","16,754","297,655","86,881","210,774","29,853","45,348","29,694","46,229","146,531","154,741","73,930","80,810","103,162","51,579",
5,1986JUN,,,,"2,019,115","1,153,935","865,180","821,787","538,769","283,017","579,761","486,943","92,819","163,608","78,418","1,036,783","538,761","498,022","178,366","150,638","27,728","295,463","187,302","108,161","11,892","229,545","156,672","72,873","54,026","251,507","113,664","137,843","102,814","65,015","67,066","16,612","311,447","87,157","224,290","32,832","47,150","29,512","49,069","152,884","160,545","76,405","84,141","107,034","53,511",
4,1986JUL,,,,"2,051,540","1,164,846","886,690","816,034","532,347","283,683","571,876","479,139","92,732","162,967","81,191","1,075,755","558,524","517,229","184,813","156,381","28,431","297,970","188,400","109,569","12,783","232,777","157,526","75,250","52,410","269,786","120,878","148,908","111,883","70,641","69,046","18,216","323,187","92,866","230,321","33,356","48,736","32,354","53,860","154,881","159,752","73,975","85,777","106,715","53,037",
4,1986AUG,,,,"2,011,744","1,141,855","869,891","804,384","524,357","280,028","564,074","471,886","92,188","159,937","80,373","1,051,695","546,649","505,047","180,911","152,770","28,141","297,138","184,184","112,954","12,576","228,775","153,215","75,560","55,787","263,427","119,784","143,643","105,614","70,477","69,706","17,630","310,220","89,911","220,309","32,220","48,295","30,115","52,455","147,135","155,665","70,849","84,816","103,323","52,342",
5,1986SEP,,,,"2,046,675","1,169,952","876,725","792,941","521,791","271,152","558,911","470,330","88,584","156,698","77,332","1,085,412","566,623","518,790","181,055","153,361","27,694","305,349","191,017","114,332","12,522","238,938","161,499","77,439","53,889","280,640","126,897","153,743","110,085","80,990","69,112","20,453","318,368","95,347","223,021","31,360","50,588","31,290","56,102","149,028","168,322","81,539","86,783","116,120","52,202",
4,1986OCT,,,,"2,110,665","1,220,614","890,052","810,144","538,638","271,506","574,837","486,200","88,638","157,446","77,861","1,120,900","590,039","530,863","187,728","159,293","28,435","308,919","197,566","111,353","12,596","241,468","166,866","74,602","54,855","298,637","135,788","162,849","118,703","86,885","70,876","22,173","325,617","97,391","228,226","30,979","51,663","34,306","56,506","152,163","179,622","91,937","87,684","126,947","52,675",
